_symbol,_timestamp,_ask_exchange,_ask_price,_ask_size,_bid_exchange,_bid_price,_bid_size,_conditions,_tape,market_price
GOOG,2023-01-03 09:00:00.001725+00:00,T,0.0,0.0,T,89.39,1.0,['R'],C,44.695
GOOG,2023-01-03 09:00:00.001768+00:00,T,90.15,1.0,T,89.39,1.0,['R'],C,89.77000000000001
GOOG,2023-01-03 09:00:00.014036+00:00,K,89.49,1.0,T,89.39,1.0,['R'],C,89.44
GOOG,2023-01-03 09:00:00.014106+00:00,K,89.4,5.0,T,89.39,1.0,['R'],C,89.39500000000001
GOOG,2023-01-03 09:00:00.014167+00:00,K,89.4,4.0,T,89.39,1.0,['R'],C,89.39500000000001
GOOG,2023-01-03 09:00:00.017471+00:00,K,89.4,5.0,T,89.39,1.0,['R'],C,89.39500000000001
GOOG,2023-01-03 09:00:00.017497+00:00,K,89.4,4.0,T,89.39,1.0,['R'],C,89.39500000000001
GOOG,2023-01-03 09:00:00.017594+00:00,K,89.0,20.0,T,89.39,1.0,['R'],C,89.195
GOOG,2023-01-03 09:00:00.017611+00:00,K,89.0,17.0,T,89.39,1.0,['R'],C,89.195
GOOG,2023-01-03 09:00:00.017637+00:00,K,89.0,11.0,T,89.39,1.0,['R'],C,89.195
GOOG,2023-01-03 09:00:00.017643+00:00,K,89.0,8.0,T,89.39,1.0,['R'],C,89.195
GOOG,2023-01-03 09:00:00.019712+00:00,K,89.0,3.0,T,89.39,1.0,['R'],C,89.195
GOOG,2023-01-03 09:00:00.020945+00:00,K,89.0,3.0,P,89.52,3.0,['R'],C,89.25999999999999
GOOG,2023-01-03 09:00:00.046661+00:00,K,89.4,2.0,P,89.52,3.0,['R'],C,89.46000000000001
GOOG,2023-01-03 09:00:00.046978+00:00,K,89.49,1.0,P,89.52,3.0,['R'],C,89.505
GOOG,2023-01-03 09:00:00.212787+00:00,K,89.88,2.0,P,89.52,3.0,['R'],C,89.69999999999999
GOOG,2023-01-03 09:00:00.520286+00:00,K,89.88,2.0,P,89.52,2.0,['R'],C,89.69999999999999
GOOG,2023-01-03 09:00:00.671491+00:00,P,89.67,2.0,P,89.52,2.0,['R'],C,89.595
GOOG,2023-01-03 09:00:01.260372+00:00,K,89.67,5.0,P,89.52,2.0,['R'],C,89.595
GOOG,2023-01-03 09:00:01.260490+00:00,K,89.67,8.0,P,89.52,2.0,['R'],C,89.595
GOOG,2023-01-03 09:00:01.707418+00:00,K,89.67,8.0,P,89.61,1.0,['R'],C,89.64
GOOG,2023-01-03 09:00:01.808750+00:00,K,89.67,8.0,P,89.52,2.0,['R'],C,89.595
GOOG,2023-01-03 09:00:02.086282+00:00,K,89.67,8.0,P,89.55,1.0,['R'],C,89.61
GOOG,2023-01-03 09:00:07.087020+00:00,K,89.67,8.0,P,89.52,2.0,['R'],C,89.595
GOOG,2023-01-03 09:00:09.284174+00:00,K,89.67,8.0,P,89.55,1.0,['R'],C,89.61
GOOG,2023-01-03 09:00:14.284586+00:00,K,89.67,8.0,P,89.52,2.0,['R'],C,89.595
GOOG,2023-01-03 09:00:17.009700+00:00,K,89.67,8.0,P,89.52,1.0,['R'],C,89.595
GOOG,2023-01-03 09:00:17.025087+00:00,K,89.67,8.0,P,89.54,1.0,['R'],C,89.605
GOOG,2023-01-03 09:00:23.511953+00:00,K,89.67,8.0,P,89.52,1.0,['R'],C,89.595
GOOG,2023-01-03 09:00:26.194219+00:00,K,89.67,8.0,P,89.53,1.0,['R'],C,89.6
GOOG,2023-01-03 09:00:44.217291+00:00,K,89.67,8.0,P,89.54,1.0,['R'],C,89.605
GOOG,2023-01-03 09:00:44.220226+00:00,K,89.67,8.0,P,89.59,1.0,['R'],C,89.63
GOOG,2023-01-03 09:00:44.220608+00:00,K,89.67,8.0,P,89.52,2.0,['R'],C,89.595
GOOG,2023-01-03 09:00:44.220739+00:00,K,89.67,8.0,P,89.52,1.0,['R'],C,89.595
GOOG,2023-01-03 09:00:44.222002+00:00,K,89.67,8.0,P,89.54,1.0,['R'],C,89.605
GOOG,2023-01-03 09:00:47.224702+00:00,K,89.67,8.0,P,89.55,1.0,['R'],C,89.61
GOOG,2023-01-03 09:00:49.225657+00:00,K,89.67,8.0,P,89.56,1.0,['R'],C,89.61500000000001
GOOG,2023-01-03 09:00:57.196640+00:00,K,89.67,8.0,P,89.52,3.0,['R'],C,89.595
GOOG,2023-01-03 09:00:57.203092+00:00,K,89.67,8.0,P,89.53,1.0,['R'],C,89.6
GOOG,2023-01-03 09:00:58.998308+00:00,K,89.67,8.0,P,89.55,1.0,['R'],C,89.61
GOOG,2023-01-03 09:01:02.237343+00:00,K,89.67,8.0,P,89.56,1.0,['R'],C,89.61500000000001
GOOG,2023-01-03 09:01:07.406296+00:00,K,89.67,8.0,P,89.54,1.0,['R'],C,89.605
GOOG,2023-01-03 09:01:07.681807+00:00,K,89.67,8.0,T,89.55,1.0,['R'],C,89.61
GOOG,2023-01-03 09:01:07.788028+00:00,K,89.67,8.0,T,89.56,1.0,['R'],C,89.61500000000001
GOOG,2023-01-03 09:01:09.712468+00:00,K,89.67,5.0,T,89.56,1.0,['R'],C,89.61500000000001
GOOG,2023-01-03 09:01:09.714768+00:00,K,89.67,5.0,P,89.56,1.0,['R'],C,89.61500000000001
GOOG,2023-01-03 09:01:09.720398+00:00,K,89.67,5.0,T,89.55,1.0,['R'],C,89.61
GOOG,2023-01-03 09:01:09.845621+00:00,K,89.67,5.0,T,89.56,1.0,['R'],C,89.61500000000001
GOOG,2023-01-03 09:01:12.075445+00:00,K,89.67,2.0,T,89.56,1.0,['R'],C,89.61500000000001
GOOG,2023-01-03 09:01:12.077739+00:00,K,89.67,2.0,P,89.55,1.0,['R'],C,89.61
GOOG,2023-01-03 09:01:12.740998+00:00,K,89.67,2.0,P,89.56,1.0,['R'],C,89.61500000000001
GOOG,2023-01-03 09:01:14.640244+00:00,P,89.67,2.0,P,89.56,1.0,['R'],C,89.61500000000001
GOOG,2023-01-03 09:01:14.646306+00:00,P,89.67,2.0,P,89.55,1.0,['R'],C,89.61
GOOG,2023-01-03 09:01:17.747232+00:00,P,89.67,2.0,P,89.6,1.0,['R'],C,89.63499999999999
GOOG,2023-01-03 09:01:17.942791+00:00,P,89.78,1.0,P,89.6,1.0,['R'],C,89.69
GOOG,2023-01-03 09:01:17.943326+00:00,P,89.78,1.0,P,89.55,1.0,['R'],C,89.66499999999999
GOOG,2023-01-03 09:01:17.944675+00:00,T,89.82,2.0,P,89.55,1.0,['R'],C,89.685
GOOG,2023-01-03 09:01:18.033768+00:00,T,89.82,1.0,P,89.55,1.0,['R'],C,89.685
GOOG,2023-01-03 09:01:18.190820+00:00,T,89.82,1.0,T,89.53,1.0,['R'],C,89.675
GOOG,2023-01-03 09:01:18.390480+00:00,K,89.88,2.0,T,89.53,1.0,['R'],C,89.705
GOOG,2023-01-03 09:01:18.474362+00:00,K,89.88,2.0,P,89.52,1.0,['R'],C,89.69999999999999
GOOG,2023-01-03 09:01:18.579420+00:00,K,89.88,2.0,T,89.54,1.0,['R'],C,89.71000000000001
GOOG,2023-01-03 09:01:18.797790+00:00,K,89.88,2.0,P,89.52,1.0,['R'],C,89.69999999999999
GOOG,2023-01-03 09:01:18.902584+00:00,K,89.88,2.0,T,89.55,1.0,['R'],C,89.715
GOOG,2023-01-03 09:01:18.998285+00:00,K,89.88,2.0,P,89.52,1.0,['R'],C,89.69999999999999
GOOG,2023-01-03 09:01:23.452404+00:00,K,89.88,2.0,P,89.52,3.0,['R'],C,89.69999999999999
GOOG,2023-01-03 09:01:26.359623+00:00,T,89.82,1.0,P,89.52,3.0,['R'],C,89.66999999999999
GOOG,2023-01-03 09:01:27.352359+00:00,T,89.82,2.0,P,89.52,3.0,['R'],C,89.66999999999999
GOOG,2023-01-03 09:01:27.723723+00:00,T,89.82,1.0,P,89.52,3.0,['R'],C,89.66999999999999
GOOG,2023-01-03 09:01:28.453218+00:00,T,89.82,2.0,P,89.52,3.0,['R'],C,89.66999999999999
GOOG,2023-01-03 09:01:28.663481+00:00,T,89.82,1.0,P,89.52,3.0,['R'],C,89.66999999999999
GOOG,2023-01-03 09:01:29.369247+00:00,T,89.81,1.0,P,89.52,3.0,['R'],C,89.66499999999999
GOOG,2023-01-03 09:01:31.504161+00:00,T,89.82,1.0,P,89.52,3.0,['R'],C,89.66999999999999
GOOG,2023-01-03 09:01:31.504164+00:00,K,89.88,2.0,P,89.52,3.0,['R'],C,89.69999999999999
GOOG,2023-01-03 09:01:31.504188+00:00,K,89.88,2.0,T,89.54,1.0,['R'],C,89.71000000000001
GOOG,2023-01-03 09:01:31.504188+00:00,K,89.88,2.0,T,89.54,2.0,['R'],C,89.71000000000001
GOOG,2023-01-03 09:01:31.504194+00:00,K,89.88,2.0,T,89.66,1.0,['R'],C,89.77
GOOG,2023-01-03 09:01:31.504216+00:00,K,89.88,2.0,T,89.67,1.0,['R'],C,89.775
GOOG,2023-01-03 09:01:31.504239+00:00,K,89.88,2.0,T,89.67,2.0,['R'],C,89.775
GOOG,2023-01-03 09:01:31.504301+00:00,K,89.88,2.0,T,89.67,1.0,['R'],C,89.775
GOOG,2023-01-03 09:01:31.504339+00:00,K,89.88,2.0,T,89.55,3.0,['R'],C,89.715
GOOG,2023-01-03 09:01:31.504361+00:00,K,89.88,2.0,T,89.55,2.0,['R'],C,89.715
GOOG,2023-01-03 09:01:31.504422+00:00,T,89.9,5.0,T,89.55,2.0,['R'],C,89.725
GOOG,2023-01-03 09:01:31.504579+00:00,T,89.9,5.0,T,89.55,1.0,['R'],C,89.725
GOOG,2023-01-03 09:01:31.504711+00:00,T,89.9,5.0,K,89.62,1.0,['R'],C,89.76
GOOG,2023-01-03 09:01:31.504744+00:00,T,89.9,5.0,K,89.62,2.0,['R'],C,89.76
GOOG,2023-01-03 09:01:31.507867+00:00,T,89.9,5.0,P,89.88,10.0,['R'],C,89.89
GOOG,2023-01-03 09:01:31.508079+00:00,T,89.9,5.0,P,89.88,4.0,['R'],C,89.89
GOOG,2023-01-03 09:01:31.508200+00:00,T,89.9,5.0,K,89.62,2.0,['R'],C,89.76
GOOG,2023-01-03 09:01:31.509591+00:00,T,89.9,5.0,K,89.59,1.0,['R'],C,89.745
GOOG,2023-01-03 09:01:31.511860+00:00,T,89.9,5.0,T,89.55,1.0,['R'],C,89.725
GOOG,2023-01-03 09:01:31.524496+00:00,T,89.9,5.0,P,89.52,3.0,['R'],C,89.71000000000001
GOOG,2023-01-03 09:01:31.574916+00:00,T,89.9,2.0,P,89.52,3.0,['R'],C,89.71000000000001
GOOG,2023-01-03 09:01:31.575478+00:00,T,89.9,1.0,P,89.52,3.0,['R'],C,89.71000000000001
GOOG,2023-01-03 09:01:31.575946+00:00,T,89.9,1.0,T,89.6,1.0,['R'],C,89.75
GOOG,2023-01-03 09:01:31.576311+00:00,T,90.0,4.0,T,89.6,1.0,['R'],C,89.8
GOOG,2023-01-03 09:01:31.576331+00:00,T,90.0,4.0,T,89.66,1.0,['R'],C,89.83
GOOG,2023-01-03 09:01:31.576333+00:00,T,90.0,4.0,T,89.66,2.0,['R'],C,89.83
GOOG,2023-01-03 09:01:31.576335+00:00,T,90.0,4.0,T,89.77,1.0,['R'],C,89.88499999999999
GOOG,2023-01-03 09:01:31.576360+00:00,T,90.0,4.0,T,89.66,5.0,['R'],C,89.83
GOOG,2023-01-03 09:01:31.576368+00:00,T,90.0,4.0,T,89.66,4.0,['R'],C,89.83
GOOG,2023-01-03 09:01:31.576380+00:00,T,90.0,4.0,T,89.66,3.0,['R'],C,89.83
GOOG,2023-01-03 09:01:31.576382+00:00,T,90.0,4.0,T,89.66,2.0,['R'],C,89.83
GOOG,2023-01-03 09:01:31.576384+00:00,T,90.0,4.0,T,89.66,1.0,['R'],C,89.83
GOOG,2023-01-03 09:01:31.576759+00:00,T,90.0,4.0,K,89.66,2.0,['R'],C,89.83
GOOG,2023-01-03 09:01:31.576774+00:00,T,90.0,4.0,T,89.66,1.0,['R'],C,89.83
GOOG,2023-01-03 09:01:31.596349+00:00,T,90.0,4.0,P,89.52,3.0,['R'],C,89.75999999999999
GOOG,2023-01-03 09:01:31.635451+00:00,T,90.0,4.0,T,89.61,1.0,['R'],C,89.805
