_symbol,_timestamp,_ask_exchange,_ask_price,_ask_size,_bid_exchange,_bid_price,_bid_size,_conditions,_tape,market_price
SPY,2023-01-04 00:00:00.014972+00:00,P,380.79,3.0,T,380.78,4.0,['R'],B,380.78499999999997
SPY,2023-01-04 00:00:00.015248+00:00,P,380.79,3.0,Z,380.78,4.0,['R'],B,380.78499999999997
SPY,2023-01-04 00:00:00.062801+00:00,P,380.79,3.0,T,380.78,4.0,['R'],B,380.78499999999997
SPY,2023-01-04 00:00:00.063016+00:00,P,380.79,3.0,K,380.78,4.0,['R'],B,380.78499999999997
SPY,2023-01-04 00:00:00.067722+00:00,P,380.79,3.0,Z,380.78,4.0,['R'],B,380.78499999999997
SPY,2023-01-04 00:00:00.067747+00:00,P,380.79,3.0,Z,380.77,13.0,['R'],B,380.78
SPY,2023-01-04 00:00:00.067858+00:00,P,380.79,3.0,T,380.77,9.0,['R'],B,380.78
SPY,2023-01-04 00:00:00.068589+00:00,P,380.79,3.0,K,380.77,9.0,['R'],B,380.78
SPY,2023-01-04 00:00:00.099503+00:00,P,380.79,3.0,T,380.77,5.0,['R'],B,380.78
SPY,2023-01-04 00:00:00.099503+00:00,P,380.79,3.0,Z,380.77,9.0,['R'],B,380.78
SPY,2023-01-04 00:00:00.099723+00:00,P,380.79,3.0,P,380.77,4.0,['R'],B,380.78
SPY,2023-01-04 00:00:00.100009+00:00,P,380.79,3.0,K,380.77,4.0,['R'],B,380.78
SPY,2023-01-04 00:00:00.100114+00:00,P,380.79,3.0,Z,380.77,4.0,['R'],B,380.78
SPY,2023-01-04 00:00:00.100124+00:00,P,380.79,3.0,T,380.76,9.0,['R'],B,380.775
SPY,2023-01-04 00:00:00.100164+00:00,P,380.79,3.0,T,380.76,5.0,['R'],B,380.775
SPY,2023-01-04 00:00:00.100219+00:00,P,380.79,7.0,T,380.76,5.0,['R'],B,380.775
SPY,2023-01-04 00:00:00.100225+00:00,P,380.78,4.0,T,380.76,5.0,['R'],B,380.77
SPY,2023-01-04 00:00:00.100290+00:00,P,380.78,4.0,P,380.75,5.0,['R'],B,380.765
SPY,2023-01-04 00:00:00.100320+00:00,P,380.79,7.0,P,380.75,5.0,['R'],B,380.77
SPY,2023-01-04 00:00:00.100495+00:00,A,380.79,4.0,P,380.75,5.0,['R'],B,380.77
SPY,2023-01-04 00:00:00.100505+00:00,P,380.79,3.0,P,380.75,5.0,['R'],B,380.77
SPY,2023-01-04 00:00:00.100680+00:00,P,380.78,4.0,P,380.75,5.0,['R'],B,380.765
SPY,2023-01-04 00:00:00.101512+00:00,A,380.79,4.0,P,380.75,5.0,['R'],B,380.77
SPY,2023-01-04 00:00:00.101518+00:00,P,380.79,3.0,P,380.75,5.0,['R'],B,380.77
SPY,2023-01-04 00:00:00.101618+00:00,P,380.79,3.0,P,380.77,5.0,['R'],B,380.78
SPY,2023-01-04 00:00:00.237912+00:00,P,380.79,3.0,K,380.76,5.0,['R'],B,380.775
SPY,2023-01-04 00:00:00.237957+00:00,P,380.79,3.0,Z,380.76,5.0,['R'],B,380.775
SPY,2023-01-04 00:00:00.237972+00:00,P,380.79,3.0,P,380.76,5.0,['R'],B,380.775
SPY,2023-01-04 00:00:00.238072+00:00,P,380.79,3.0,P,380.75,10.0,['R'],B,380.77
SPY,2023-01-04 00:00:00.238112+00:00,P,380.79,3.0,T,380.75,9.0,['R'],B,380.77
