_symbol,_timestamp,_open,_high,_low,_close,_volume,_trade_count,_vwap
META,2023-01-09 05:00:00+00:00,131.16,132.95,129.28,129.47,28716578.0,275767.0,130.778163
META,2023-01-10 05:00:00+00:00,127.27,133.44,127.15,132.99,31414556.0,276108.0,131.732787
META,2023-01-11 05:00:00+00:00,130.96,133.8494,130.34,132.89,27395864.0,241807.0,132.519716
META,2023-01-12 05:00:00+00:00,133.44,137.6781,131.76,136.71,32665515.0,293579.0,135.526141
META,2023-01-13 05:00:00+00:00,134.97,137.39,134.835,136.98,23715062.0,219175.0,136.480871
META,2023-01-17 05:00:00+00:00,136.176,136.75,134.25,135.36,23281819.0,219984.0,135.518642
META,2023-01-18 05:00:00+00:00,135.81,137.25,132.8,133.02,22222410.0,207613.0,134.204909
META,2023-01-19 05:00:00+00:00,132.49,137.45,132.14,136.15,30285961.0,239621.0,135.517722
META,2023-01-20 05:00:00+00:00,135.89,139.94,134.61,139.37,31196483.0,254757.0,138.164942
META,2023-01-23 05:00:00+00:00,139.29,143.76,138.66,143.27,29670749.0,257226.0,142.297972
META,2023-01-24 05:00:00+00:00,141.69,145.0,141.36,143.14,23480247.0,242490.0,143.534116
META,2023-01-25 05:00:00+00:00,141.22,143.17,140.31,141.5,28222094.0,240991.0,141.830125
META,2023-01-26 05:00:00+00:00,144.4,147.51,143.3,147.3,27434397.0,266228.0,145.880871
META,2023-01-27 05:00:00+00:00,148.237,153.19,147.39,151.74,37678108.0,372467.0,150.920194
META,2023-01-30 05:00:00+00:00,149.405,151.1233,146.95,147.06,29734518.0,290554.0,148.265455
META,2023-01-31 05:00:00+00:00,147.95,149.88,147.52,148.97,32712207.0,277704.0,148.414621
META,2023-02-01 05:00:00+00:00,148.03,153.58,147.06,153.12,57840358.0,582467.0,159.601947
META,2023-02-02 05:00:00+00:00,183.38,197.16,180.16,188.77,154679403.0,1363518.0,188.253661
META,2023-02-03 05:00:00+00:00,183.465,196.77,182.89,186.53,79576538.0,730090.0,190.426578
META,2023-02-06 05:00:00+00:00,186.53,190.7,185.5156,186.06,44709418.0,401073.0,187.555546
META,2023-02-07 05:00:00+00:00,185.575,193.7799,184.4,191.62,49929129.0,418652.0,189.638391
META,2023-02-08 05:00:00+00:00,190.0,190.83,182.92,183.43,38724009.0,370855.0,185.485219
META,2023-02-09 05:00:00+00:00,186.13,186.65,177.27,177.92,38799953.0,374962.0,180.933537
META,2023-02-10 05:00:00+00:00,176.3534,178.89,173.35,174.15,35297643.0,332297.0,175.599452
META,2023-02-13 05:00:00+00:00,178.215,181.0,175.82,179.43,34143638.0,300172.0,179.113256
META,2023-02-14 05:00:00+00:00,177.16,181.5064,175.88,179.48,26423869.0,243817.0,179.434125
META,2023-02-15 05:00:00+00:00,176.415,178.19,175.33,177.16,26906208.0,267647.0,176.727374
META,2023-02-16 05:00:00+00:00,172.75,175.85,171.79,172.44,27799591.0,296823.0,173.794285
META,2023-02-17 05:00:00+00:00,170.22,173.18,169.7,172.88,26368583.0,242950.0,171.748191
META,2023-02-21 05:00:00+00:00,174.31,178.17,171.88,172.08,36507596.0,333939.0,173.777098
META,2023-02-22 05:00:00+00:00,171.07,172.755,169.69,171.12,24044524.0,220311.0,171.29747
META,2023-02-23 05:00:00+00:00,172.0,173.69,169.38,172.04,21655181.0,211274.0,171.809573
META,2023-02-24 05:00:00+00:00,168.64,170.72,167.66,170.39,21404393.0,219182.0,169.449862
META,2023-02-27 05:00:00+00:00,171.875,173.12,169.06,169.54,21336107.0,208267.0,170.253579
META,2023-02-28 05:00:00+00:00,171.9,177.55,171.87,174.94,50311079.0,405132.0,175.249067
META,2023-03-01 05:00:00+00:00,174.59,177.85,173.05,173.42,31189475.0,304333.0,175.46376
META,2023-03-02 05:00:00+00:00,172.38,175.01,171.43,174.53,18635265.0,192220.0,173.379557
META,2023-03-03 05:00:00+00:00,178.92,186.62,177.05,185.25,48172575.0,423340.0,183.528331
META,2023-03-06 05:00:00+00:00,188.0,189.66,184.64,184.9,34658836.0,313790.0,186.902679
META,2023-03-07 05:00:00+00:00,189.0,190.36,184.01,184.51,38715280.0,358007.0,186.26956
META,2023-03-08 05:00:00+00:00,182.87,185.26,181.34,184.97,20461448.0,217710.0,183.488568
META,2023-03-09 05:00:00+00:00,186.35,188.93,180.3,181.69,28626904.0,274794.0,184.077578
META,2023-03-10 05:00:00+00:00,181.01,184.77,178.8,179.51,27042322.0,281925.0,181.251391
META,2023-03-13 04:00:00+00:00,177.96,183.78,174.82,180.9,26374933.0,300959.0,180.869023
META,2023-03-14 04:00:00+00:00,187.58,194.32,186.56,194.02,44033961.0,444590.0,191.597208
META,2023-03-15 04:00:00+00:00,192.95,197.78,190.8351,197.75,44194137.0,441149.0,194.602766
META,2023-03-16 04:00:00+00:00,198.26,205.76,196.0886,204.93,53608605.0,503319.0,200.76202
META,2023-03-17 04:00:00+00:00,200.56,201.9,195.4304,195.61,62459635.0,416472.0,197.481831
META,2023-03-20 04:00:00+00:00,198.48,199.36,193.64,197.81,25422382.0,280105.0,196.664322
META,2023-03-21 04:00:00+00:00,203.2,203.55,197.95,202.16,33451458.0,335802.0,200.731582
META,2023-03-22 04:00:00+00:00,202.5,207.37,199.67,199.81,29719192.0,295937.0,203.239624
META,2023-03-23 04:00:00+00:00,202.84,207.88,202.15,204.28,27558564.0,302619.0,205.234217
META,2023-03-24 04:00:00+00:00,205.18,207.58,203.55,206.01,29378250.0,296669.0,205.510454
META,2023-03-27 04:00:00+00:00,204.81,205.86,201.36,202.84,20161889.0,231618.0,203.31072
META,2023-03-28 04:00:00+00:00,200.15,201.03,197.9,200.68,20190973.0,220762.0,199.640487
META,2023-03-29 04:00:00+00:00,203.56,205.72,202.5355,205.35,20444619.0,205247.0,204.439776
META,2023-03-30 04:00:00+00:00,203.38,208.09,202.82,207.84,23580628.0,258404.0,206.689657
META,2023-03-31 04:00:00+00:00,207.24,212.17,206.77,211.94,25607425.0,278557.0,210.236289
META,2023-04-03 04:00:00+00:00,208.84,213.4861,208.2,213.07,19279424.0,223357.0,211.23316
META,2023-04-04 04:00:00+00:00,213.39,216.24,212.54,214.72,23260234.0,240305.0,214.249489
META,2023-04-05 04:00:00+00:00,214.15,215.19,209.94,211.48,21073564.0,238381.0,211.933117
META,2023-04-06 04:00:00+00:00,209.25,216.94,208.65,216.1,27745757.0,289178.0,214.10113
META,2023-04-10 04:00:00+00:00,214.71,215.66,210.66,214.75,17068527.0,210351.0,213.442755
META,2023-04-11 04:00:00+00:00,215.48,216.02,213.41,213.85,16907922.0,202173.0,214.735869
META,2023-04-12 04:00:00+00:00,214.835,216.84,212.584,214.0,19164554.0,223609.0,214.898651
META,2023-04-13 04:00:00+00:00,215.73,221.15,215.69,220.35,23460010.0,261110.0,219.185131
META,2023-04-14 04:00:00+00:00,217.88,222.11,217.55,221.49,22913978.0,244578.0,220.212178
META,2023-04-17 04:00:00+00:00,219.79,220.979,217.13,218.86,15636125.0,207209.0,219.029903
META,2023-04-18 04:00:00+00:00,219.91,220.44,216.21,217.89,13371822.0,179976.0,217.991504
META,2023-04-19 04:00:00+00:00,213.472,217.33,212.93,215.7,16831139.0,211083.0,215.475451
META,2023-04-20 04:00:00+00:00,213.48,216.75,212.77,213.07,18053501.0,200687.0,214.323401
META,2023-04-21 04:00:00+00:00,210.21,213.41,209.58,212.89,18106728.0,203661.0,211.916038
META,2023-04-24 04:00:00+00:00,213.675,213.92,210.71,212.79,15899274.0,168366.0,212.512207
META,2023-04-25 04:00:00+00:00,210.815,211.26,207.13,207.55,21152247.0,226885.0,209.076451
