_symbol,_timestamp,_open,_high,_low,_close,_volume,_trade_count,_vwap
GOOG,2023-01-17 05:00:00+00:00,92.78,92.97,90.84,92.16,25559343.0,191880.0,92.037685
GOOG,2023-01-18 05:00:00+00:00,92.94,93.588,91.4,91.78,22770525.0,169586.0,92.148563
GOOG,2023-01-19 05:00:00+00:00,91.39,94.4,91.38,93.91,32014271.0,215936.0,93.535497
GOOG,2023-01-20 05:00:00+00:00,95.95,99.42,95.91,99.28,59922340.0,433452.0,98.170173
GOOG,2023-01-23 05:00:00+00:00,99.13,101.4,98.75,101.21,34293431.0,302589.0,100.663723
GOOG,2023-01-24 05:00:00+00:00,99.55,101.09,98.7,99.21,29436070.0,232161.0,99.66224
GOOG,2023-01-25 05:00:00+00:00,97.2,97.72,95.262,96.73,33125573.0,263954.0,96.327253
GOOG,2023-01-26 05:00:00+00:00,98.28,99.21,96.82,99.16,26995605.0,211432.0,98.487521
GOOG,2023-01-27 05:00:00+00:00,99.05,101.58,98.97,100.71,33000248.0,226893.0,100.583022
GOOG,2023-01-30 05:00:00+00:00,98.745,99.4088,97.52,97.95,27125117.0,199435.0,98.261178
GOOG,2023-01-31 05:00:00+00:00,97.86,99.91,97.79,99.87,26329677.0,178346.0,99.278228
GOOG,2023-02-01 05:00:00+00:00,99.74,102.1899,98.42,101.43,29334550.0,260115.0,100.443586
GOOG,2023-02-02 05:00:00+00:00,106.79,108.82,106.54,108.8,47087972.0,465450.0,107.528105
GOOG,2023-02-03 05:00:00+00:00,103.51,108.02,103.3,105.22,39731146.0,377675.0,105.654947
GOOG,2023-02-06 05:00:00+00:00,102.685,104.7,102.21,103.47,28344788.0,256181.0,103.359462
GOOG,2023-02-07 05:00:00+00:00,103.63,108.67,103.5475,108.04,36958860.0,316851.0,106.14067
GOOG,2023-02-08 05:00:00+00:00,102.69,103.58,98.455,100.0,78506819.0,686750.0,100.296237
GOOG,2023-02-09 05:00:00+00:00,100.54,100.61,93.86,95.46,101241541.0,869634.0,95.581133
GOOG,2023-02-10 05:00:00+00:00,95.74,97.02,94.53,94.86,52592291.0,417588.0,95.344352
GOOG,2023-02-13 05:00:00+00:00,95.01,95.35,94.05,95.0,47082555.0,358713.0,94.78191
GOOG,2023-02-14 05:00:00+00:00,94.66,95.175,92.65,94.95,44829430.0,401390.0,94.134855
GOOG,2023-02-15 05:00:00+00:00,94.74,97.34,94.36,97.1,39351686.0,338851.0,96.182126
GOOG,2023-02-16 05:00:00+00:00,95.54,97.88,94.97,95.78,38995462.0,292505.0,96.474779
GOOG,2023-02-17 05:00:00+00:00,95.07,95.75,93.45,94.59,34942453.0,263424.0,94.353728
GOOG,2023-02-21 05:00:00+00:00,93.24,93.4149,92.0,92.05,31365327.0,252087.0,92.431619
