_symbol,_timestamp,_ask_exchange,_ask_price,_ask_size,_bid_exchange,_bid_price,_bid_size,_conditions,_tape,market_price
GOOG,2023-01-17 09:00:00.001918+00:00,T,0.0,0.0,T,92.06,1.0,['R'],C,46.03
GOOG,2023-01-17 09:00:00.001997+00:00,T,92.72,1.0,T,92.06,1.0,['R'],C,92.39
GOOG,2023-01-17 09:00:00.017837+00:00,T,92.72,1.0,K,92.1,1.0,['R'],C,92.41
GOOG,2023-01-17 09:00:00.018545+00:00,T,92.72,1.0,T,92.06,1.0,['R'],C,92.39
GOOG,2023-01-17 09:00:00.019654+00:00,T,92.72,1.0,K,92.1,1.0,['R'],C,92.41
GOOG,2023-01-17 09:00:00.023553+00:00,P,92.7,1.0,K,92.1,1.0,['R'],C,92.4
GOOG,2023-01-17 09:00:00.023738+00:00,P,92.69,1.0,K,92.1,1.0,['R'],C,92.395
GOOG,2023-01-17 09:00:00.023738+00:00,P,92.69,2.0,K,92.1,1.0,['R'],C,92.395
GOOG,2023-01-17 09:00:00.023738+00:00,P,92.69,2.0,P,92.18,4.0,['R'],C,92.435
GOOG,2023-01-17 09:00:00.023764+00:00,P,92.65,3.0,P,92.18,4.0,['R'],C,92.415
GOOG,2023-01-17 09:00:00.085863+00:00,P,92.69,2.0,P,92.18,4.0,['R'],C,92.435
GOOG,2023-01-17 09:00:00.098121+00:00,P,92.69,2.0,K,92.1,1.0,['R'],C,92.395
GOOG,2023-01-17 09:00:00.309339+00:00,P,92.69,2.0,K,92.01,1.0,['R'],C,92.35
GOOG,2023-01-17 09:00:00.309363+00:00,P,92.69,2.0,P,92.0,4.0,['R'],C,92.345
GOOG,2023-01-17 09:00:00.402181+00:00,P,92.69,2.0,P,92.43,1.0,['R'],C,92.56
GOOG,2023-01-17 09:00:00.402250+00:00,P,92.55,1.0,P,92.43,1.0,['R'],C,92.49000000000001
GOOG,2023-01-17 09:00:01.149191+00:00,P,92.55,1.0,T,92.28,1.0,['R'],C,92.41499999999999
GOOG,2023-01-17 09:00:01.150595+00:00,P,92.69,2.0,T,92.28,1.0,['R'],C,92.485
GOOG,2023-01-17 09:00:01.172029+00:00,T,92.64,1.0,T,92.28,1.0,['R'],C,92.46000000000001
GOOG,2023-01-17 09:00:01.205345+00:00,P,92.69,2.0,T,92.28,1.0,['R'],C,92.485
GOOG,2023-01-17 09:00:01.225591+00:00,P,92.69,2.0,K,92.0,4.0,['R'],C,92.345
GOOG,2023-01-17 09:00:01.401621+00:00,P,92.69,2.0,P,92.13,32.0,['R'],C,92.41
GOOG,2023-01-17 09:00:01.414243+00:00,P,92.69,2.0,P,92.43,1.0,['R'],C,92.56
GOOG,2023-01-17 09:00:01.414834+00:00,P,92.57,1.0,P,92.43,1.0,['R'],C,92.5
GOOG,2023-01-17 09:00:02.368031+00:00,P,92.57,1.0,T,92.16,1.0,['R'],C,92.365
GOOG,2023-01-17 09:00:02.382250+00:00,P,92.69,2.0,T,92.16,1.0,['R'],C,92.425
GOOG,2023-01-17 09:00:02.437633+00:00,P,92.69,2.0,K,92.0,4.0,['R'],C,92.345
GOOG,2023-01-17 09:00:02.450697+00:00,T,92.64,1.0,K,92.0,4.0,['R'],C,92.32
GOOG,2023-01-17 09:00:03.006338+00:00,T,92.64,1.0,T,92.16,1.0,['R'],C,92.4
GOOG,2023-01-17 09:00:03.847723+00:00,T,92.64,1.0,P,92.43,1.0,['R'],C,92.535
GOOG,2023-01-17 09:00:03.849303+00:00,P,92.56,1.0,P,92.43,1.0,['R'],C,92.495
GOOG,2023-01-17 09:00:04.499246+00:00,P,92.56,1.0,T,92.16,1.0,['R'],C,92.36
GOOG,2023-01-17 09:00:04.500214+00:00,T,92.64,1.0,T,92.16,1.0,['R'],C,92.4
GOOG,2023-01-17 09:00:05.188254+00:00,T,92.64,1.0,T,92.34,1.0,['R'],C,92.49000000000001
GOOG,2023-01-17 09:00:06.183562+00:00,P,92.69,2.0,T,92.34,1.0,['R'],C,92.515
GOOG,2023-01-17 09:00:06.183585+00:00,P,92.69,2.0,T,92.44,1.0,['R'],C,92.565
GOOG,2023-01-17 09:00:06.183587+00:00,P,92.69,2.0,T,92.5,1.0,['R'],C,92.595
GOOG,2023-01-17 09:00:06.183626+00:00,P,92.69,2.0,T,92.44,3.0,['R'],C,92.565
GOOG,2023-01-17 09:00:06.183652+00:00,P,92.69,2.0,T,92.44,2.0,['R'],C,92.565
GOOG,2023-01-17 09:00:06.183654+00:00,P,92.69,2.0,T,92.44,1.0,['R'],C,92.565
GOOG,2023-01-17 09:00:06.183790+00:00,P,92.69,2.0,T,92.53,1.0,['R'],C,92.61
GOOG,2023-01-17 09:00:06.183885+00:00,P,92.69,2.0,T,92.44,1.0,['R'],C,92.565
GOOG,2023-01-17 09:00:06.186656+00:00,P,92.53,4.0,T,92.44,1.0,['R'],C,92.485
GOOG,2023-01-17 09:00:06.203612+00:00,P,92.53,4.0,T,92.34,1.0,['R'],C,92.435
GOOG,2023-01-17 09:00:06.286738+00:00,P,92.69,2.0,T,92.34,1.0,['R'],C,92.515
GOOG,2023-01-17 09:00:07.302005+00:00,T,92.64,1.0,T,92.34,1.0,['R'],C,92.49000000000001
GOOG,2023-01-17 09:00:15.821043+00:00,T,92.64,1.0,P,92.43,1.0,['R'],C,92.535
GOOG,2023-01-17 09:00:15.821097+00:00,P,92.56,1.0,P,92.43,1.0,['R'],C,92.495
GOOG,2023-01-17 09:00:16.568626+00:00,P,92.65,2.0,P,92.43,1.0,['R'],C,92.54
GOOG,2023-01-17 09:00:16.569172+00:00,P,92.65,2.0,P,92.45,1.0,['R'],C,92.55000000000001
GOOG,2023-01-17 09:00:16.569200+00:00,P,92.65,2.0,P,92.51,1.0,['R'],C,92.58000000000001
GOOG,2023-01-17 09:00:16.569233+00:00,P,92.65,2.0,P,92.55,1.0,['R'],C,92.6
GOOG,2023-01-17 09:00:16.569270+00:00,P,92.65,1.0,P,92.43,1.0,['R'],C,92.54
GOOG,2023-01-17 09:00:16.570281+00:00,P,92.65,1.0,T,92.34,1.0,['R'],C,92.495
GOOG,2023-01-17 09:00:16.595914+00:00,P,92.65,1.0,P,92.42,1.0,['R'],C,92.535
GOOG,2023-01-17 09:00:16.669227+00:00,T,92.64,1.0,P,92.42,1.0,['R'],C,92.53
GOOG,2023-01-17 09:00:17.975863+00:00,P,92.65,1.0,P,92.42,1.0,['R'],C,92.535
GOOG,2023-01-17 09:00:19.098199+00:00,T,92.64,1.0,P,92.42,1.0,['R'],C,92.53
GOOG,2023-01-17 09:00:19.290222+00:00,P,92.65,1.0,P,92.42,1.0,['R'],C,92.535
GOOG,2023-01-17 09:00:19.399830+00:00,T,92.64,1.0,P,92.42,1.0,['R'],C,92.53
GOOG,2023-01-17 09:00:19.573790+00:00,P,92.57,1.0,P,92.42,1.0,['R'],C,92.495
GOOG,2023-01-17 09:00:19.574478+00:00,P,92.57,1.0,P,92.49,1.0,['R'],C,92.53
GOOG,2023-01-17 09:00:19.574555+00:00,P,92.57,1.0,P,92.42,2.0,['R'],C,92.495
GOOG,2023-01-17 09:00:19.574560+00:00,P,92.57,1.0,P,92.42,1.0,['R'],C,92.495
