_symbol,_timestamp,_ask_exchange,_ask_price,_ask_size,_bid_exchange,_bid_price,_bid_size,_conditions,_tape,market_price
SPY,2023-01-17 09:00:00.000932+00:00,A,0.0,0.0,T,397.41,5.0,['R'],B,198.705
SPY,2023-01-17 09:00:00.000972+00:00,T,397.5,5.0,T,397.41,5.0,['R'],B,397.45500000000004
SPY,2023-01-17 09:00:00.005222+00:00,T,397.5,5.0,T,397.41,6.0,['R'],B,397.45500000000004
SPY,2023-01-17 09:00:00.026372+00:00,T,397.5,5.0,P,397.41,7.0,['R'],B,397.45500000000004
SPY,2023-01-17 09:00:00.026397+00:00,T,397.5,5.0,T,397.41,6.0,['R'],B,397.45500000000004
SPY,2023-01-17 09:00:00.026412+00:00,T,397.5,5.0,P,397.43,5.0,['R'],B,397.46500000000003
SPY,2023-01-17 09:00:00.026417+00:00,P,397.5,13.0,P,397.43,5.0,['R'],B,397.46500000000003
SPY,2023-01-17 09:00:00.047532+00:00,P,397.5,13.0,K,397.82,3.0,['R'],B,397.65999999999997
SPY,2023-01-17 09:00:00.050534+00:00,P,397.5,13.0,P,397.43,5.0,['R'],B,397.46500000000003
SPY,2023-01-17 09:00:00.145746+00:00,P,397.5,13.0,P,397.43,6.0,['R'],B,397.46500000000003
SPY,2023-01-17 09:00:00.790995+00:00,P,397.5,12.0,T,397.43,6.0,['R'],B,397.46500000000003
SPY,2023-01-17 09:00:00.791070+00:00,T,397.5,5.0,T,397.43,6.0,['R'],B,397.46500000000003
SPY,2023-01-17 09:00:00.791732+00:00,P,397.5,4.0,P,397.43,6.0,['R'],B,397.46500000000003
SPY,2023-01-17 09:00:00.805008+00:00,P,397.5,4.0,T,397.43,6.0,['R'],B,397.46500000000003
SPY,2023-01-17 09:00:00.879199+00:00,P,397.5,4.0,K,397.43,5.0,['R'],B,397.46500000000003
SPY,2023-01-17 09:00:00.884487+00:00,P,397.5,4.0,T,397.43,5.0,['R'],B,397.46500000000003
SPY,2023-01-17 09:00:00.884768+00:00,P,397.5,4.0,P,397.4,14.0,['R'],B,397.45
SPY,2023-01-17 09:00:00.894952+00:00,K,397.5,5.0,P,397.4,14.0,['R'],B,397.45
SPY,2023-01-17 09:00:00.894962+00:00,P,397.5,9.0,P,397.4,14.0,['R'],B,397.45
SPY,2023-01-17 09:00:00.920793+00:00,P,397.5,9.0,P,397.4,19.0,['R'],B,397.45
SPY,2023-01-17 09:00:01.009850+00:00,P,397.49,5.0,P,397.4,19.0,['R'],B,397.445
SPY,2023-01-17 09:00:01.050371+00:00,K,397.49,4.0,P,397.4,19.0,['R'],B,397.445
SPY,2023-01-17 09:00:01.091995+00:00,P,397.49,8.0,P,397.4,19.0,['R'],B,397.445
SPY,2023-01-17 09:00:01.096681+00:00,P,397.49,8.0,T,397.4,11.0,['R'],B,397.445
SPY,2023-01-17 09:00:01.096851+00:00,T,397.48,5.0,T,397.4,11.0,['R'],B,397.44
SPY,2023-01-17 09:00:01.096952+00:00,T,397.48,5.0,P,397.4,6.0,['R'],B,397.44
SPY,2023-01-17 09:00:01.134862+00:00,T,397.48,5.0,T,397.4,6.0,['R'],B,397.44
SPY,2023-01-17 09:00:01.136075+00:00,T,397.48,5.0,K,397.4,5.0,['R'],B,397.44
SPY,2023-01-17 09:00:01.140305+00:00,T,397.48,5.0,P,397.4,5.0,['R'],B,397.44
SPY,2023-01-17 09:00:01.140375+00:00,T,397.48,5.0,P,397.37,13.0,['R'],B,397.425
SPY,2023-01-17 09:00:01.140435+00:00,T,397.48,5.0,P,397.37,14.0,['R'],B,397.425
SPY,2023-01-17 09:00:01.152278+00:00,P,397.47,5.0,P,397.37,14.0,['R'],B,397.42
SPY,2023-01-17 09:00:01.153040+00:00,T,397.47,5.0,P,397.37,14.0,['R'],B,397.42
SPY,2023-01-17 09:00:01.153376+00:00,T,397.48,5.0,P,397.37,14.0,['R'],B,397.425
SPY,2023-01-17 09:00:01.177789+00:00,T,397.48,5.0,P,397.38,5.0,['R'],B,397.43
SPY,2023-01-17 09:00:01.210000+00:00,T,397.48,5.0,K,397.38,5.0,['R'],B,397.43
SPY,2023-01-17 09:00:01.213759+00:00,P,397.47,5.0,K,397.38,5.0,['R'],B,397.425
SPY,2023-01-17 09:00:01.213779+00:00,P,397.47,5.0,T,397.38,5.0,['R'],B,397.425
SPY,2023-01-17 09:00:01.214035+00:00,P,397.47,5.0,P,397.38,5.0,['R'],B,397.425
SPY,2023-01-17 09:00:01.215102+00:00,T,397.47,5.0,T,397.38,5.0,['R'],B,397.425
SPY,2023-01-17 09:00:01.215373+00:00,P,397.48,5.0,K,397.38,5.0,['R'],B,397.43
SPY,2023-01-17 09:00:01.226499+00:00,P,397.48,5.0,P,397.38,5.0,['R'],B,397.43
SPY,2023-01-17 09:00:01.252566+00:00,P,397.48,10.0,T,397.38,5.0,['R'],B,397.43
SPY,2023-01-17 09:00:01.252837+00:00,P,397.48,10.0,K,397.38,5.0,['R'],B,397.43
SPY,2023-01-17 09:00:01.356433+00:00,T,397.48,10.0,K,397.38,5.0,['R'],B,397.43
SPY,2023-01-17 09:00:01.356448+00:00,T,397.48,10.0,T,397.38,5.0,['R'],B,397.43
SPY,2023-01-17 09:00:01.356699+00:00,P,397.48,5.0,P,397.38,5.0,['R'],B,397.43
SPY,2023-01-17 09:00:01.366678+00:00,T,397.48,5.0,K,397.38,5.0,['R'],B,397.43
SPY,2023-01-17 09:00:01.366688+00:00,P,397.46,8.0,K,397.38,5.0,['R'],B,397.41999999999996
SPY,2023-01-17 09:00:01.366958+00:00,P,397.46,8.0,T,397.38,5.0,['R'],B,397.41999999999996
SPY,2023-01-17 09:00:01.366998+00:00,P,397.46,8.0,P,397.38,5.0,['R'],B,397.41999999999996
SPY,2023-01-17 09:00:01.368642+00:00,P,397.46,8.0,K,397.38,5.0,['R'],B,397.41999999999996
SPY,2023-01-17 09:00:01.368642+00:00,P,397.46,8.0,T,397.38,5.0,['R'],B,397.41999999999996
SPY,2023-01-17 09:00:01.368908+00:00,P,397.46,8.0,P,397.37,1.0,['R'],B,397.41499999999996
SPY,2023-01-17 09:00:01.399486+00:00,P,397.45,5.0,T,397.37,1.0,['R'],B,397.40999999999997
